CaseID,Cruisedbefore,Howmany,Intend,Abiltravel,Abilspend,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_7,Motivation_8,TopDestination,TopCruiseline,TopLength,Demos1,Demos2,Demos3
421,2,0,3,1,3,0,1,1,0,0,1,1,0,2,1,5,5,2,4
422,1,3,1,1,2,1,1,1,0,0,1,0,0,6,3,4,1,5,5
423,2,0,2,2,2,0,1,1,0,0,1,1,0,3,3,1,6,2,4
426,1,5,1,2,2,1,0,0,1,1,1,0,0,6,5,5,1,1,6
427,1,4,2,2,2,0,1,0,0,1,1,1,0,2,5,1,2,2,3
429,2,0,2,2,2,0,0,1,0,0,1,0,0,2,2,1,6,2,2
430,2,0,1,1,2,1,0,0,1,0,1,1,0,4,1,1,5,2,5
432,2,0,2,2,3,0,1,1,0,0,1,1,0,2,2,1,1,2,2
439,1,4,2,2,2,1,0,0,1,1,0,1,0,5,1,4,4,2,5
440,1,3,1,3,3,1,0,1,0,1,1,0,0,6,6,4,1,5,3
442,1,4,1,2,3,0,1,0,1,1,1,0,0,5,3,5,1,2,6
446,2,0,2,3,2,0,0,1,1,0,1,1,0,1,3,5,1,1,3
447,1,1,2,2,2,1,1,1,0,0,1,0,0,3,3,2,2,2,3
449,2,0,3,3,3,1,0,0,1,1,0,1,0,6,1,5,3,5,7
450,2,0,1,2,1,1,0,1,1,0,1,0,0,2,6,4,1,1,7
451,1,4,1,1,2,1,0,0,1,0,1,1,0,4,3,5,5,2,4
452,1,4,1,1,1,1,0,0,1,1,1,0,0,5,4,5,5,2,3
453,1,1,2,3,3,1,0,0,1,0,1,1,0,4,4,4,4,2,5
454,2,0,2,1,3,1,0,0,0,0,1,1,1,4,1,4,5,4,6
455,1,5,1,2,2,1,1,0,0,0,1,1,0,6,3,5,5,2,5
457,1,1,2,2,2,1,1,0,0,0,1,1,0,6,3,1,4,2,4
458,1,1,1,2,2,1,0,1,1,0,0,1,0,6,3,5,1,5,6
459,2,0,2,1,3,1,0,0,1,0,1,1,0,4,4,1,5,2,6
460,1,1,1,3,1,1,1,1,0,0,0,1,0,2,3,1,1,2,3
461,2,0,2,2,2,0,1,1,0,0,1,1,0,2,6,1,1,1,2
464,2,0,2,2,2,1,1,0,0,0,1,1,0,3,6,1,5,2,2
469,1,2,1,2,2,0,1,0,1,0,1,1,0,4,6,3,1,2,4
471,1,2,3,1,2,1,0,0,1,0,0,0,0,6,1,1,6,2,6
474,2,0,1,1,3,1,0,1,1,0,0,1,0,6,3,4,1,2,6
480,2,0,2,2,3,1,1,1,0,0,1,0,0,3,2,5,1,2,3
482,1,3,2,1,2,0,0,0,0,0,1,1,0,2,3,1,2,2,5
485,1,4,1,1,1,1,0,0,0,0,1,1,1,6,3,1,1,2,5
486,1,1,1,1,1,1,1,0,0,0,1,1,0,6,4,2,1,2,6
487,2,0,1,2,3,1,0,1,0,0,1,0,1,2,6,4,1,2,5
489,2,0,3,2,2,1,0,0,1,0,1,1,0,5,1,1,1,1,4
490,2,0,1,3,3,1,1,1,0,0,1,0,0,3,6,5,1,2,4
493,2,0,2,1,2,1,0,1,1,0,0,1,0,6,1,1,5,2,5
494,2,0,1,2,1,1,0,1,1,0,1,0,0,6,3,5,1,1,3
495,1,1,1,2,2,1,0,1,0,0,0,1,1,1,2,1,1,2,2
500,2,0,1,1,1,1,0,0,0,1,1,0,0,4,1,2,5,2,6
502,1,2,2,1,1,0,0,1,1,0,1,0,0,6,4,5,1,1,6
504,2,0,3,1,3,1,0,0,1,1,0,0,0,4,1,1,2,2,3
506,2,0,3,1,2,1,1,0,1,0,1,0,0,6,3,5,5,2,3
507,2,0,2,2,2,1,1,1,0,0,1,0,0,3,3,1,2,2,3
508,1,2,2,2,2,0,1,1,0,0,1,1,0,6,5,4,5,2,6
509,2,0,3,2,3,1,0,1,0,0,1,1,0,4,3,1,2,2,2
510,1,1,2,3,3,0,1,0,1,0,1,1,0,3,3,1,5,2,5
511,2,0,1,2,3,0,0,0,0,1,1,1,0,4,2,4,1,2,2
513,1,1,1,2,1,1,0,0,0,0,1,1,1,4,1,1,2,2,3
515,1,2,1,2,3,1,1,1,0,0,1,0,0,5,1,1,1,2,5
517,1,3,1,2,1,1,1,0,1,0,1,0,0,3,4,3,1,2,5
